"","errLimit","percentage","benchmark"
"1","0",100,"MxM"
"2","0.1",42.8571428571429,"MxM"
"3","0.2",42.8571428571429,"MxM"
"4","0.3",42.8571428571429,"MxM"
"5","0.4",42.8571428571429,"MxM"
"6","0.5",42.8571428571429,"MxM"
"7","1",42.8571428571429,"MxM"
"8","2",42.8571428571429,"MxM"
"9","3",42.8571428571429,"MxM"
"10","4",42.8571428571429,"MxM"
"11","5",42.8571428571429,"MxM"
"12","8",42.8571428571429,"MxM"
"13","10",42.8571428571429,"MxM"
"14","12",42.8571428571429,"MxM"
"15","15",28.5714285714286,"MxM"
