numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
25;12.491248551480789;0.001369431180260743;0.7885690863699396;16;20;20;20;20;20;24;24;24;24;24;24;24;25
1;0.00029801834927071564;0.00029801834927071564;0.00029801834927071564;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;56.52705259894546;7.524774541771894e-05;3.3174156988264665;16;16;16;16;16;19;23;23;23;23;27;27;27;27
28;56.52705259894546;7.524774541771894e-05;3.3174156988264665;16;16;16;16;16;19;23;23;23;23;27;27;27;27
27;2.3562288492687546;9.566646934246382e-06;0.10814580959014479;24;26;26;26;26;26;26;27;27;27;27;27;27;27
25;12.491248551480789;0.001369431180260743;0.7885690863699396;16;20;20;20;20;20;24;24;24;24;24;24;24;25
1;0.00029801834927071564;0.00029801834927071564;0.00029801834927071564;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;56.52705259894546;7.524774541771894e-05;3.3174156988264665;16;16;16;16;16;19;23;23;23;23;27;27;27;27
28;56.52705259894546;7.524774541771894e-05;3.3174156988264665;16;16;16;16;16;19;23;23;23;23;27;27;27;27
27;2.3562288492687546;9.566646934246382e-06;0.10814580959014479;24;26;26;26;26;26;26;27;27;27;27;27;27;27
